Article_ID,Coord_X,Coord_Y
330,-59.006702,-26.831522
331,50.861427,15.164172
332,-25.538765,-16.178728
333,-49.994534,2.5870326
334,34.326275,-38.775192
335,-17.760174,-10.877076
336,8.567569,-22.095716
337,-66.764915,-4.077157
338,0.91148126,38.308655
339,-2.3638957,-27.278275
340,-8.971523,32.52839
341,-5.99506,-30.800505
342,-60.31243,26.726303
343,27.377691,-50.02928
344,0.16782026,29.81879
345,60.92384,-10.67908
346,-63.693947,25.505394
347,2.747991,26.930672
348,27.21732,-36.157497
349,-9.917741,5.6729736
350,-38.751717,29.055767
351,-8.305759,-11.445918
352,-36.709606,35.91194
353,-0.2854294,41.86642
354,47.28349,-43.4644
355,34.344307,-2.808536
356,-4.47777,-21.811104
357,-1.475057,-46.832584
358,-10.954903,-34.706398
359,-2.8804958,51.693542
360,-63.600647,-8.843329
361,49.85525,-18.67347
362,-9.571679,-41.79382
363,23.2509,26.97266
364,-15.231435,-6.546355
365,-50.65138,2.5542
366,53.239574,9.58044
367,40.025948,-30.74902
368,-18.451044,0.4405045
369,22.833265,-11.434779
370,-50.49239,-30.703627
371,-50.065517,-38.080635
372,-65.91982,25.370775
373,-51.813427,14.088366
374,-54.23866,-4.6146994
375,51.746872,-13.979636
376,21.576105,15.680623
377,-47.736374,-25.728916
378,36.564716,-8.848993
379,-15.079081,-15.535965
380,-6.164966,-35.759266
381,-18.274431,-6.7088947
382,-49.941692,4.993111
383,24.39011,39.50949
384,24.90908,-54.830795
385,-56.699127,-25.547161
386,14.124126,-36.910637
387,5.2005305,25.69073
388,-48.563736,41.582268
389,6.9320693,38.456608
390,26.931067,-4.007762
391,-15.798949,-18.508972
392,-18.86118,-9.068425
393,33.086628,25.19689
394,9.753251,-1.0327826
395,1.3097695,-0.8451922
396,-64.343124,38.855118
397,18.459051,-34.231236
398,-35.172264,9.533363
399,36.34438,-32.93343
400,3.0943267,54.98382
401,-34.138447,-26.292776
402,-8.004953,-5.357519
403,35.91007,-36.99094
404,25.452728,-43.023525
405,-33.95798,32.621624
406,16.262676,-4.8587875
407,22.566435,15.744098
408,34.119316,20.47341
409,0.41906512,-43.708824
410,48.710552,-46.090298
411,46.394043,-45.428738
412,-22.370386,-0.1912566
413,19.03647,-4.7188315
414,8.255212,-6.5384274
415,-65.25512,24.17484
416,-70.89314,28.860025
417,15.004591,-37.03385
418,-40.341396,6.308776
419,35.71357,-34.271065
420,-21.401861,31.813097
421,-42.322258,18.268076
422,-52.040443,11.716598
423,1.6239707,23.817959
424,97.05971,-1.7053437
425,26.465878,-48.483643
426,18.243845,-22.289509
427,55.89971,-31.808727
428,-6.7138476,-37.462193
429,1.4159737,-29.200283
430,5.8192987,19.298605
431,-30.910192,-26.13276
432,-34.107376,0.5122027
433,11.846931,37.259296
434,-10.574579,-11.363723
435,-10.6706085,-27.38614
436,-35.36525,35.633625
437,-40.304214,19.667707
438,-25.181581,-20.831524
439,31.33262,-24.507801
440,47.332024,10.129229
441,36.843433,49.895584
